Price,Close,High,Low,Open,Volume
Ticker,GE,GE,GE,GE,GE
Date,,,,,
2023-01-03,52.3413200378418,52.40907099545996,51.454387782701396,51.76850860167661,10280781
2023-01-04,55.387813568115234,55.387813568115234,52.66576352179378,53.975501084554324,21031104
2023-01-05,56.2478141784668,56.45295644620821,54.44100393156675,55.151104819087266,16001061
2023-01-06,56.76066970825195,57.068379358277326,55.821757971841755,56.81590003223344,13018044
2023-01-09,57.336639404296875,58.3149987074462,56.77645041157028,56.808008442626594,9488844
2023-01-10,59.388038635253906,59.466937482826694,56.96580894191046,56.96580894191046,11597142
2023-01-11,61.29741668701172,61.30530619419416,59.57739475426594,59.82198456202142,12729603
2023-01-12,62.22055435180664,62.49670599842534,60.981822353082016,61.44733351254976,14407871
2023-01-13,63.27781677246094,63.59341973394529,61.936513614341195,62.15743493312514,13843395
2023-01-17,63.50662612915039,63.64075531047407,62.930654320489296,63.056893993649865,10640727
2023-01-18,62.544044494628906,64.05103103311241,62.44147334808672,63.86167529857739,9816378
2023-01-19,60.64255142211914,62.133762692177875,60.49263945868823,61.494671070359765,13045860
2023-01-20,61.289527893066406,61.34475821526117,59.703635106516714,61.21851855632313,10351409
2023-01-23,62.93854522705078,63.13579424933732,61.17907550059775,61.23430583024206,13729748
2023-01-24,63.67230987548828,63.79066003404031,61.12384048402811,61.542010792826936,16767395
2023-01-25,63.743324279785156,64.18515934946556,62.67028332333175,62.94643118470083,10652380
2023-01-26,64.01947021484375,64.36663117935785,63.21469140735669,64.28772856024771,8158534
2023-01-27,65.6684799194336,66.26812018672594,63.83010403852351,63.9090066540396,9760244
2023-01-30,63.77488708496094,65.28976322448447,63.64864740666731,65.0215048509294,7175806
2023-01-31,63.49873352050781,63.83800498260823,62.70184043708825,63.47506499717416,8625026
2023-02-01,64.95049285888672,65.06884301700603,63.127899669594214,63.33303818373927,9112192
2023-02-02,66.22866821289062,66.29968132443963,64.61911059576649,64.8479214031962,10391129
2023-02-03,64.66645050048828,66.03142589774177,64.55598984572353,65.88940721091585,7240085
2023-02-06,64.97415924072266,65.04516480772396,64.0983711165222,64.27983733029791,5425114
2023-02-07,64.78479766845703,64.98993995247282,63.54606954181234,64.68222652644913,5891982
